UniqueIdentifier EntryName GeneName NumberTRs
Q6ZWE6 PKHM3_HUMAN PLEKHM3 1
Q8WVK2 SNR27_HUMAN SNRNP27 1
Q96BH1 RNF25_HUMAN RNF25 1
P49190 PTH2R_HUMAN PTH2R 1
O75400 PR40A_HUMAN PRPF40A 3
Q6ZV50 RFX8_HUMAN RFX8 1
Q9NPC8 SIX2_HUMAN SIX2 2
Q9UBY0 SL9A2_HUMAN SLC9A2 1
P47974 TISD_HUMAN ZFP36L2 2
Q70CQ2 UBP34_HUMAN USP34 1
Q9C0J8 WDR33_HUMAN WDR33 1
A4UGR9 XIRP2_HUMAN XIRP2 1
Q7Z570 Z804A_HUMAN ZNF804A 1
Q14966 ZN638_HUMAN ZNF638 1
Q8N8E2 ZN513_HUMAN ZNF513 1
Q9Y6F9 WNT6_HUMAN WNT6 1
O60315 ZEB2_HUMAN ZEB2 1
Q16629 SRSF7_HUMAN SRSF7 1
Q9HB15 KCNKC_HUMAN KCNK12 1
A0A0C4DH24 KV621_HUMAN IGKV6-21 1
P01602 KV105_HUMAN IGKV1-5 1
A0A0C4DH72 KV106_HUMAN IGKV1-6 1
A0A0C4DH69 KV109_HUMAN IGKV1-9 1
A0A0C4DH73 KV112_HUMAN IGKV1-12 1
P01594 KV133_HUMAN IGKV1-33 1
P01597 KV139_HUMAN IGKV1-39 1
A0A075B6P5 KV228_HUMAN IGKV2-28 1
P06310 KV230_HUMAN IGKV2-30 1
A0A087WW87 KV240_HUMAN IGKV2-40 1
P04433 KV311_HUMAN IGKV3-11 1
P06312 KV401_HUMAN IGKV4-1 1
P01593 KVD33_HUMAN IGKV1D-33 1
P01614 KVD40_HUMAN IGKV2D-40 1
A0A0C4DH67 KV108_HUMAN IGKV1-8 1
P04430 KV116_HUMAN IGKV1-16 1
P01599 KV117_HUMAN IGKV1-17 1
A0A075B6S5 KV127_HUMAN IGKV1-27 1
P01624 KV315_HUMAN IGKV3-15 1
P01619 KV320_HUMAN IGKV3-20 1
A0A0C4DH55 KVD07_HUMAN IGKV3D-7 1
A0A087WSZ0 KVD08_HUMAN IGKV1D-8 1
P01611 KVD12_HUMAN IGKV1D-12 1
A0A0B4J2D9 KVD13_HUMAN IGKV1D-13 1
A0A087WSY6 KVD15_HUMAN IGKV3D-15 1
P01601 KVD16_HUMAN IGKV1D-16 1
A0A075B6S4 KVD17_HUMAN IGKV1D-17 1
A0A0C4DH25 KVD20_HUMAN IGKV3D-20 1
A0A0A0MT36 KVD21_HUMAN IGKV6D-21 1
A0A0A0MRZ7 KVD26_HUMAN IGKV2D-26 1
P01615 KVD28_HUMAN IGKV2D-28 1
A0A075B6S2 KVD29_HUMAN IGKV2D-29 1
A0A075B6S6 KVD30_HUMAN IGKV2D-30 1
P04432 KVD39_HUMAN IGKV1D-39 1
A0A0B4J1Z2 KVD43_HUMAN IGKV1D-43 1
O14649 KCNK3_HUMAN KCNK3 1
O60282 KIF5C_HUMAN KIF5C 1
Q9P267 MBD5_HUMAN MBD5 1
P58400 NRX1B_HUMAN NRXN1 1
Q8TB72 PUM2_HUMAN PUM2 2
Q15032 R3HD1_HUMAN R3HDM1 1
P20264 PO3F3_HUMAN POU3F3 7
Q70E73 RAPH1_HUMAN RAPH1 4
Q8N490 PNKD_HUMAN PNKD 1
P05187 PPB1_HUMAN ALPP 1
Q53LP3 SWAHC_HUMAN SOWAHC 2
Q15772 SPEG_HUMAN SPEG 1
P35716 SOX11_HUMAN SOX11 2
Q02447 SP3_HUMAN SP3 2
Q6BEB4 SP5_HUMAN SP5 2
Q8N831 TSYL6_HUMAN TSPYL6 1
Q9NQC3 RTN4_HUMAN RTN4 4
Q9C0C4 SEM4C_HUMAN SEMA4C 1
A0A286YFB4 SCGR2_HUMAN SCYGR2 1
Q6GMV2 SMYD5_HUMAN SMYD5 1
P0CG40 SP9_HUMAN SP9 3
Q8TEJ3 SH3R3_HUMAN SH3RF3 1
P51991 ROA3_HUMAN HNRNPA3 1
Q9UPW6 SATB2_HUMAN SATB2 1
A0A286YF46 SCGR5_HUMAN SCYGR5 1
A0A286YF77 SCGR6_HUMAN SCYGR6 1
A0A286YF01 SCGR7_HUMAN SCYGR7 1
Q99250 SCN2A_HUMAN SCN2A 1
Q99832 TCPH_HUMAN CCT7 1
Q9Y5Q9 TF3C3_HUMAN GTF3C3 1
Q9HBL0 TENS1_HUMAN TNS1 1
Q9HCS4 TF7L1_HUMAN TCF7L1 1
O43516 WIPF1_HUMAN WIPF1 4
Q6NUQ4 TM214_HUMAN TMEM214 1
Q8WZ42 TITIN_HUMAN TTN 3
O43151 TET3_HUMAN TET3 1
Q6ZT12 UBR3_HUMAN UBR3 1
A0A2R8Y4X4 A0A2R8Y4X4_HUMAN CCDC88A 1
A0A087WTU9 A0A087WTU9_HUMAN ALMS1 2
A0A2R8Y6W8 A0A2R8Y6W8_HUMAN ERCC3 1
A0A0A0MTF4 A0A0A0MTF4_HUMAN HOXD8 1
Q2M2I8 AAK1_HUMAN AAK1 3
Q9NYB9 ABI2_HUMAN ABI2 2
P07510 ACHG_HUMAN CHRNG 1
Q04771 ACVR1_HUMAN ACVR1 1
Q8TCU4 ALMS1_HUMAN ALMS1 2
Q6ULP2 AFTIN_HUMAN AFTPH 2
Q8NER5 ACV1C_HUMAN ACVR1C 1
P18089 ADA2B_HUMAN ADRA2B 1
P51826 AFF3_HUMAN AFF3 2
Q9UM73 ALK_HUMAN ALK 3
Q13685 AAMP_HUMAN AAMP 2
A7E2S9 A30BL_HUMAN ANKRD30BL 1
Q9ULI0 ATD2B_HUMAN ATAD2B 1
P10523 ARRS_HUMAN SAG 1
Q86X95 CIR1_HUMAN CIR1 3
Q03828 EVX2_HUMAN EVX2 4
Q6P995 F171B_HUMAN FAM171B 1
Q6P1L5 F117B_HUMAN FAM117B 4
P19447 ERCC3_HUMAN ERCC3 1
Q13467 FZD5_HUMAN FZD5 1
Q8IXR5 F178B_HUMAN FAM178B 1
Q8TAM6 ERMIN_HUMAN ERMN 1
Q8TF61 FBX41_HUMAN FBXO41 3
Q99581 FEV_HUMAN FEV 1
Q86XH1 DRC11_HUMAN IQCA1 1
Q9HCG8 CWC22_HUMAN CWC22 2
P25686 DNJB2_HUMAN DNAJB2 1
Q9NQR9 G6PC2_HUMAN G6PC2 1
Q6P158 DHX57_HUMAN DHX57 1
Q07687 DLX2_HUMAN DLX2 3
Q9NZJ5 E2AK3_HUMAN EIF2AK3 1
Q9NR33 DPOE4_HUMAN POLE4 1
Q8NFT8 DNER_HUMAN DNER 2
P09529 INHBB_HUMAN INHBB 1
P35568 IRS1_HUMAN IRS1 3
P13378 HXD8_HUMAN HOXD8 3
P35453 HXD13_HUMAN HOXD13 4
Q9BV36 MELPH_HUMAN MLPH 1
P10070 GLI2_HUMAN GLI2 1
Q75VX8 GARE2_HUMAN GAREM2 1
Q3V6T2 GRDN_HUMAN CCDC88A 1
P52951 GBX2_HUMAN GBX2 1
P28290 ITPI2_HUMAN ITPRID2 1
Q6Y7W6 GGYF2_HUMAN GIGYF2 5
Q4ZG55 GREB1_HUMAN GREB1 2
P31249 HXD3_HUMAN HOXD3 1
Q6GPH6 IPIL1_HUMAN ITPRIPL1 1
P28356 HXD9_HUMAN HOXD9 1
O60841 IF2P_HUMAN EIF5B 1
Q05925 HME1_HUMAN EN1 3
P18065 IBP2_HUMAN IGFBP2 1
Q8WVV9 HNRLL_HUMAN HNRNPLL 1
P31277 HXD11_HUMAN HOXD11 2
P09016 HXD4_HUMAN HOXD4 1
P05455 LA_HUMAN SSB 1
A0A0A0MS79 A0A0A0MS79_HUMAN NCKAP5 1
E9PGF5 E9PGF5_HUMAN TNS1 1
E9PG46 E9PG46_HUMAN AAK1 3
H7BZ26 H7BZ26_HUMAN ITPRID2 1
C9JTS3 C9JTS3_HUMAN AAMP 1
A0A2R8Y7D9 A0A2R8Y7D9_HUMAN CCDC88A 1
A0A3B3ITS6 A0A3B3ITS6_HUMAN MYT1L 1
E7EWD6 E7EWD6_HUMAN ASXL2 2
A0A075B6S9 A0A075B6S9_HUMAN IGKV1-37 1
A0A2R8Y6B2 A0A2R8Y6B2_HUMAN CCDC88A 1
A0A0D9SEY1 A0A0D9SEY1_HUMAN MAP4K4 1
C4AM88 C4AM88_HUMAN NT5C1B 1
F1T0F2 F1T0F2_HUMAN TLX2 1
Q1PSW9 Q1PSW9_HUMAN GLI2 1
G5E9N6 G5E9N6_HUMAN PEX13 1
H7C1N1 H7C1N1_HUMAN SRSF7 1
A0A1B0GW40 A0A1B0GW40_HUMAN SCN2A 1
B9EIJ4 B9EIJ4_HUMAN KCNK3 1
C9JV89 C9JV89_HUMAN SEMA4C 1
A0A3B3ISW5 A0A3B3ISW5_HUMAN MYT1L 1
I1E4Y6 I1E4Y6_HUMAN GIGYF2 5
A0A087X0Q4 A0A087X0Q4_HUMAN IGKV2-40 1
C9J119 C9J119_HUMAN PLEKHM3 1
A0A087WZL3 A0A087WZL3_HUMAN ALK 3
F8W8L6 F8W8L6_HUMAN EIF2B4 1
A0A3B3IRX5 A0A3B3IRX5_HUMAN MYT1L 1
A0A3B3IU66 A0A3B3IU66_HUMAN MYT1L 1
F8W914 F8W914_HUMAN RTN4 4
H7C066 H7C066_HUMAN MBD5 2
A0A2R8Y4W8 A0A2R8Y4W8_HUMAN CCDC88A 1
A0A1B0GWI0 A0A1B0GWI0_HUMAN ZEB2 1
C9JN15 C9JN15_HUMAN PPIG 1
D6W592 D6W592_HUMAN HNRNPLL 1
C9K0J5 C9K0J5_HUMAN RAPH1 4
C9J4M7 C9J4M7_HUMAN SEMA4C 1
A0JP08 A0JP08_HUMAN ZEB2 1
A0A2R8Y846 A0A2R8Y846_HUMAN CCDC88A 1
A0A0C4DH26 A0A0C4DH26_HUMAN IGKV6D-41 1
A0A2R8YED2 A0A2R8YED2_HUMAN RFX8 1
F2Z2L5 F2Z2L5_HUMAN LMAN2L 1
B4DFN8 B4DFN8_HUMAN PTH2R 1
B4DIZ1 B4DIZ1_HUMAN ERMN 1
A0A2R8YG52 A0A2R8YG52_HUMAN CCDC88A 1
B7Z836 B7Z836_HUMAN ABI2 2
A0A3B3ITW6 A0A3B3ITW6_HUMAN KIF1A 1
A0A1B0GW10 A0A1B0GW10_HUMAN MBD5 1
F2Z2B4 F2Z2B4_HUMAN GLI2 1
D3YTD3 D3YTD3_HUMAN PEX13 1
D4Q8H0 D4Q8H0_HUMAN pk 1
B5MBY9 B5MBY9_HUMAN PEX13 1
G3XAA2 G3XAA2_HUMAN MAP4K4 1
F1T0B3 F1T0B3_HUMAN DDX1 1
A0A1B0GVV8 A0A1B0GVV8_HUMAN ZEB2 1
E9PF55 E9PF55_HUMAN TNS1 1
A0A3B3IRW2 A0A3B3IRW2_HUMAN MOGS 1
B8ZZ90 B8ZZ90_HUMAN WIPF1 1
C9JG97 C9JG97_HUMAN AAMP 1
F8WAL6 F8WAL6_HUMAN ABI2 2
C9JEH3 C9JEH3_HUMAN AAMP 2
A0A2Q2TTZ9 A0A2Q2TTZ9_HUMAN IGKV1D-33 1
B8ZZ98 B8ZZ98_HUMAN SNRNP27 1
A0A3F2YNY6 A0A3F2YNY6_HUMAN PRPF40A 3
A0A3B3IRK4 A0A3B3IRK4_HUMAN MYT1L 1
A0A096LNR2 A0A096LNR2_HUMAN ZNF638 1
C9J840 C9J840_HUMAN MAP4K4 1
E7ENL6 E7ENL6_HUMAN COL6A3 1
A0A0C4DH90 A0A0C4DH90_HUMAN IGKV3OR2-268 1
A0A0C4DG21 A0A0C4DG21_HUMAN ABI2 2
A0A0A0MR59 A0A0A0MR59_HUMAN PUM2 2
A0A087WUT6 A0A087WUT6_HUMAN EIF5B 1
C9JRD2 C9JRD2_HUMAN DNAJB2 1
A0A2R8YES7 A0A2R8YES7_HUMAN ERCC3 1
C9JX00 C9JX00_HUMAN DNAJB2 1
C9JG15 C9JG15_HUMAN ATAD2B 1
A0A096LPI0 A0A096LPI0_HUMAN ZNF638 1
F8WB07 F8WB07_HUMAN LMAN2L 1
A0A3B3IS61 A0A3B3IS61_HUMAN MYT1L 1
B7WP74 B7WP74_HUMAN CWC22 2
A0A2R8YG73 A0A2R8YG73_HUMAN CCDC88A 1
E7EP65 E7EP65_HUMAN ABI2 2
A0A0G2JRQ6 A0A0G2JRQ6_HUMAN NoGeneName 1
H7C008 H7C008_HUMAN TMEM214 1
A0A087X2G1 A0A087X2G1_HUMAN DDX1 1
E7EN18 E7EN18_HUMAN CSRNP3 2
E9PCP1 E9PCP1_HUMAN SLC4A3 1
F6U291 F6U291_HUMAN SCN2A 1
A0A096LNQ0 A0A096LNQ0_HUMAN ZNF638 1
A0A2R8Y7L3 A0A2R8Y7L3_HUMAN CCDC88A 1
H7BZZ6 H7BZZ6_HUMAN SRSF7 1
A0A087X014 A0A087X014_HUMAN ZNF804A 1
B7WPG3 B7WPG3_HUMAN HNRNPLL 1
A0A075B7D4 A0A075B7D4_HUMAN IGKV1OR2-108 1
F8WCX4 F8WCX4_HUMAN LMAN2L 1
A0A3B3ITL3 A0A3B3ITL3_HUMAN MYT1L 1
A0A0A0MTS7 A0A0A0MTS7_HUMAN TTN 3
H0Y4J7 H0Y4J7_HUMAN TTN 1
H7C207 H7C207_HUMAN R3HDM1 1
H7C1P9 H7C1P9_HUMAN TTN 1
A0A1B0GTS6 A0A1B0GTS6_HUMAN SCN2A 1
A0A1B0GV02 A0A1B0GV02_HUMAN ZEB2 1
C9JM79 C9JM79_HUMAN PPIG 3
A0A0D9SEM5 A0A0D9SEM5_HUMAN NRXN1 1
A0A2R8Y4T1 A0A2R8Y4T1_HUMAN TNS1 1
E7EW77 E7EW77_HUMAN ABI2 2
A0A096LPB4 A0A096LPB4_HUMAN ZNF638 1
A0A2U3TZV9 A0A2U3TZV9_HUMAN CCDC88A 1
E9PB87 E9PB87_HUMAN WIPF1 3
H7C3V8 H7C3V8_HUMAN HJURP 1
E9PEZ7 E9PEZ7_HUMAN ABI2 2
A0A1B0GW67 A0A1B0GW67_HUMAN SCN2A 1
F8W8V9 F8W8V9_HUMAN KIF1A 1
A0A3B3IRZ7 A0A3B3IRZ7_HUMAN ATP6V1C2 1
A0A096LNX0 A0A096LNX0_HUMAN ZNF638 1
A0A3B3IS14 A0A3B3IS14_HUMAN MYT1L 1
A0A3B3IS52 A0A3B3IS52_HUMAN MOGS 1
A0A0D9SG62 A0A0D9SG62_HUMAN MAP4K4 1
A0A0U1RR16 A0A0U1RR16_HUMAN ATP6V1C2 1
B8ZZQ6 B8ZZQ6_HUMAN PTMA 1
A0A087WXD9 A0A087WXD9_HUMAN CCDC88A 1
A0A2U3TZT7 A0A2U3TZT7_HUMAN OTOF 2
A8MUN2 A8MUN2_HUMAN APOB 1
E7ENQ1 E7ENQ1_HUMAN MAP4K4 1
H0YG23 H0YG23_HUMAN GLI2 1
A0A1B0GWA6 A0A1B0GWA6_HUMAN SCN2A 1
A0A0A0MSY6 A0A0A0MSY6_HUMAN IQCA1 1
A0A3B3ITJ8 A0A3B3ITJ8_HUMAN MYT1L 1
H7BZR5 H7BZR5_HUMAN IQCA1 1
H7C0T2 H7C0T2_HUMAN ITPRIPL1 1
A0A1B0GTL5 A0A1B0GTL5_HUMAN RAB11FIP5 1
A0A087WWW7 A0A087WWW7_HUMAN TNS1 1
E9PHV5 E9PHV5_HUMAN ITPRID2 1
F8WD49 F8WD49_HUMAN SLC4A3 2
B8ZZI9 B8ZZI9_HUMAN AFTPH 3
C9JNT4 C9JNT4_HUMAN ITPRIPL1 1
A0A0D9SF60 A0A0D9SF60_HUMAN PKP4 1
C9JWB9 C9JWB9_HUMAN KIF5C 1
G5E948 G5E948_HUMAN MAP4K4 1
A0A0D9SG99 A0A0D9SG99_HUMAN GREB1 1
H7C1Z2 H7C1Z2_HUMAN SLC4A3 1
H0YG38 H0YG38_HUMAN PRPF40A 1
A0A2R8Y560 A0A2R8Y560_HUMAN RFX8 1
H7C1U2 H7C1U2_HUMAN GLI2 1
A0A087WTA5 A0A087WTA5_HUMAN EIF2B4 1
A0A2U3TZJ5 A0A2U3TZJ5_HUMAN BCL11A 1
A0A3B3IRK6 A0A3B3IRK6_HUMAN MOGS 1
F5H578 F5H578_HUMAN PRPF40A 1
C9JNM7 C9JNM7_HUMAN NPHP1 1
C9J8D4 C9J8D4_HUMAN MOGS 1
C9J1G2 C9J1G2_HUMAN DNAJB2 1
H0Y6B5 H0Y6B5_HUMAN ABI2 2
A0A2R8YD81 A0A2R8YD81_HUMAN CCDC88A 1
A0A1B0GXE3 A0A1B0GXE3_HUMAN TTN 1
A0A087WU95 A0A087WU95_HUMAN FAM171B 1
A0A2R8YF72 A0A2R8YF72_HUMAN MYT1L 1
C9JR56 C9JR56_HUMAN SATB2 1
H7BZI0 H7BZI0_HUMAN TMEM214 1
H7C360 H7C360_HUMAN MAP4K4 1
H0Y7L6 H0Y7L6_HUMAN SP3 2
F8VY47 F8VY47_HUMAN GBX2 1
A0A075B6H7 A0A075B6H7_HUMAN IGKV3-7 1
E7EMB8 E7EMB8_HUMAN PTPN18 1
H7BZ47 H7BZ47_HUMAN R3HDM1 1
H7C309 H7C309_HUMAN ERCC3 1
A0A087X0M4 A0A087X0M4_HUMAN SLC4A1AP 1
H7C0P6 H7C0P6_HUMAN MAP4K4 1
A0A2R8YD99 A0A2R8YD99_HUMAN CCDC88A 1
A0A3B3IRM3 A0A3B3IRM3_HUMAN MYT1L 1
C9JH18 C9JH18_HUMAN GIGYF2 2
E9PG73 E9PG73_HUMAN PPIG 4
A0A3B3ISN1 A0A3B3ISN1_HUMAN MYT1L 1
A0A3B3IRT9 A0A3B3IRT9_HUMAN MYT1L 1
J3KQ49 J3KQ49_HUMAN CSRNP3 2
A0A0G2JQJ0 A0A0G2JQJ0_HUMAN IGKV1D-8 1
A0A2R8Y762 A0A2R8Y762_HUMAN ERCC3 1
E7EX83 E7EX83_HUMAN MAP4K4 1
A0A3B3ISN3 A0A3B3ISN3_HUMAN MYT1L 1
A0A3B3IUB9 A0A3B3IUB9_HUMAN BIRC6 3
A0A0D9SG23 A0A0D9SG23_HUMAN MBD5 1
C9JXB9 C9JXB9_HUMAN DNAJB2 1
A0A0G2JMZ6 A0A0G2JMZ6_HUMAN KIF5C 1
F8WEV6 F8WEV6_HUMAN EIF2B4 1
A0A087WV20 A0A087WV20_HUMAN ALMS1 2
C9JB04 C9JB04_HUMAN WIPF1 1
A0A2R8Y5L2 A0A2R8Y5L2_HUMAN ERCC3 1
A0A3B3ISU4 A0A3B3ISU4_HUMAN MYT1L 1
J3KNF3 J3KNF3_HUMAN TET3 1
E7EUL7 E7EUL7_HUMAN ITPRID2 1
A0A0C4DG68 A0A0C4DG68_HUMAN PUM2 2
E7ESB6 E7ESB6_HUMAN GIGYF2 1
E7EN19 E7EN19_HUMAN MAP4K4 1
E7ETU0 E7ETU0_HUMAN DNAJB2 1
E9PHH0 E9PHH0_HUMAN MBD5 2
Q8NE01 CNNM3_HUMAN CNNM3 1
P48751 B3A3_HUMAN SLC4A3 2
Q9UIF8 BAZ2B_HUMAN BAZ2B 1
Q76L83 ASXL2_HUMAN ASXL2 2
Q01955 CO4A3_HUMAN COL4A3 1
P12111 CO6A3_HUMAN COL6A3 1
Q96SQ7 ATOH8_HUMAN ATOH8 2
F8WEK5 F8WEK5_HUMAN LMAN2L 1
Q9BXB4 OSB11_HUMAN OSBPL11 1
P30559 OXYR_HUMAN OXTR 1
Q8NCE2 MTMRE_HUMAN MTMR14 2
Q99102 MUC4_HUMAN MUC4 1
Q9Y2I1 NISCH_HUMAN NISCH 2
Q8N2Q7 NLGN1_HUMAN NLGN1 1
Q2Q1W2 LIN41_HUMAN TRIM71 1
Q0VAK6 LMOD3_HUMAN LMOD3 1
Q93052 LPP_HUMAN LPP 1
Q9UGP4 LIMD1_HUMAN LIMD1 1
Q9HAY2 MAGF1_HUMAN MAGEF1 1
Q96QZ7 MAGI1_HUMAN MAGI1 1
Q6ZVX9 PAQR9_HUMAN PAQR9 1
Q9NZ53 PDXL2_HUMAN PODXL2 2
A1A4G5 LNP1_HUMAN LNP1 1
O43283 M3K13_HUMAN MAP3K13 1
Q9NR56 MBNL1_HUMAN MBNL1 1
P30414 NKTR_HUMAN NKTR 3
Q6ZWH5 NEK10_HUMAN NEK10 1
Q6ZNJ1 NBEL2_HUMAN NBEAL2 2
Q9H3D4 P63_HUMAN TP63 1
O43818 U3IP2_HUMAN RRP9 1
P51965 UB2E1_HUMAN UBE2E1 1
O00461 GOLI4_HUMAN GOLIM4 1
O15083 ERC2_HUMAN ERC2 1
Q9H2U1 DHX36_HUMAN DHX36 1
Q9UPA5 BSN_HUMAN BSN 3
P55201 BRPF1_HUMAN BRPF1 2
Q96MT7 CFA44_HUMAN CFAP44 1
Q13191 CBLB_HUMAN CBLB 1
Q96S65 CSRN1_HUMAN CSRNP1 2
Q9H4D0 CSTN2_HUMAN CLSTN2 1
Q9UK59 DBR1_HUMAN DBR1 1
Q4L180 FIL1L_HUMAN FILIP1L 1
Q8TBJ5 FEZF2_HUMAN FEZF2 1
P49789 FHIT_HUMAN FHIT 1
Q01668 CAC1D_HUMAN CACNA1D 2
P58012 FOXL2_HUMAN FOXL2 3
Q9H334 FOXP1_HUMAN FOXP1 3
P51114 FXR1_HUMAN FXR1 1
Q9Y4B4 ARIP4_HUMAN RAD54L2 1
O95376 ARI2_HUMAN ARIH2 2
Q3SXY8 AR13B_HUMAN ARL13B 1
Q15283 RASA2_HUMAN RASA2 1
P78332 RBM6_HUMAN RBM6 1
Q8IYW5 RN168_HUMAN RNF168 1
P50914 RL14_HUMAN RPL14 1
P42338 PK3CB_HUMAN PIK3CB 1
Q8NDX5 PHC3_HUMAN PHC3 2
Q9UPR0 PLCL2_HUMAN PLCL2 1
Q9UIW2 PLXA1_HUMAN PLXNA1 1
Q04912 RON_HUMAN MST1R 1
Q9HC23 PROK2_HUMAN PROK2 1
P52756 RBM5_HUMAN RBM5 2
Q8NEW7 TMIE_HUMAN TMIE 1
Q8WZ71 TM158_HUMAN TMEM158 2
Q8WWA1 TMM40_HUMAN TMEM40 1
O94966 UBP19_HUMAN USP19 1
P40225 TPO_HUMAN THPO 1
Q9UKE5 TNIK_HUMAN TNIK 2
Q9GZV5 WWTR1_HUMAN WWTR1 1
P13682 ZNF35_HUMAN ZNF35 1
Q9H6B1 Z385D_HUMAN ZNF385D 1
Q504Y3 ZCPW2_HUMAN ZCWPW2 1
Q9UFB7 ZBT47_HUMAN ZBTB47 2
A8MV65 VGLL3_HUMAN VGLL3 1
Q01831 XPC_HUMAN XPC 1
O15050 TRNK1_HUMAN TRANK1 2
Q96L42 KCNH8_HUMAN KCNH8 1
Q2TAL8 QRIC1_HUMAN QRICH1 2
Q8NDT2 RB15B_HUMAN RBM15B 4
Q7Z7A4 PXK_HUMAN PXK 1
Q7Z3G6 PRIC2_HUMAN PRICKLE2 2
Q9Y4D7 PLXD1_HUMAN PLXND1 1
Q5FWE3 PRRT3_HUMAN PRRT3 1
O43295 SRGP3_HUMAN SRGAP3 1
O15042 SR140_HUMAN U2SURP 3
P20396 TRH_HUMAN TRH 3
P62995 TRA2B_HUMAN TRA2B 3
Q8TCJ2 STT3B_HUMAN STT3B 1
Q8NBK3 SUMF1_HUMAN SUMF1 1
Q92777 SYN2_HUMAN SYN2 2
Q9UI38 TSP50_HUMAN PRSS50 1
Q96N46 TTC14_HUMAN TTC14 1
Q6P087 RUSD3_HUMAN RPUSD3 1
O94876 TMCC1_HUMAN TMCC1 2
O60902 SHOX2_HUMAN SHOX2 2
Q8N114 SHSA5_HUMAN SHISA5 1
Q92922 SMRC1_HUMAN SMARCC1 1
Q96IZ7 RSRC1_HUMAN RSRC1 2
Q9NTJ3 SMC4_HUMAN SMC4 2
Q92609 TBCD5_HUMAN TBC1D5 2
Q01826 SATB1_HUMAN SATB1 1
P0DPB3 SCHI1_HUMAN SCHIP1 2
P62341 SELT_HUMAN SELENOT 1
Q9BZK7 TBL1R_HUMAN TBL1XR1 1
Q68DE3 USF3_HUMAN USF3 3
Q6ZT21 TMPPE_HUMAN TMPPE 1
O75157 T22D2_HUMAN TSC22D2 1
A0A2R8Y7N6 A0A2R8Y7N6_HUMAN TRANK1 1
C9J367 C9J367_HUMAN RSRC1 2
H0YF57 H0YF57_HUMAN ABI3BP 1
O60239 3BP5_HUMAN SH3BP5 1
Q8N2R8 FA43A_HUMAN FAM43A 1
P54762 EPHB1_HUMAN EPHB1 1
O95936 EOMES_HUMAN EOMES 1
P98095 FBLN2_HUMAN FBLN2 1
Q14469 HES1_HUMAN HES1 1
P22914 CRYGS_HUMAN CRYGS 1
A0A1B0GTH6 CS2IP_HUMAN CSNKA2IP 1
Q96JC9 EAF1_HUMAN EAF1 2
Q68DQ2 CRBG3_HUMAN CRYBG3 2
Q494V2 CP100_HUMAN CFAP100 1
Q9UKY7 CDV3_HUMAN CDV3 1
Q13609 DNSL3_HUMAN DNASE1L3 1
Q86Y13 DZIP3_HUMAN DZIP3 1
Q96CJ1 EAF2_HUMAN EAF2 1
O95196 CSPG5_HUMAN CSPG5 1
Q9H5V8 CDCP1_HUMAN CDCP1 1
Q9NYQ7 CELR3_HUMAN CELSR3 3
Q16829 DUS7_HUMAN DUSP7 1
Q9ULR0 ISY1_HUMAN ISY1 1
Q86YW9 MD12L_HUMAN MED12L 3
Q15051 IQCB1_HUMAN IQCB1 1
Q86SU0 ILDR1_HUMAN ILDR1 1
Q5DX21 IGS11_HUMAN IGSF11 1
P07203 GPX1_HUMAN GPX1 1
Q14643 ITPR1_HUMAN ITPR1 1
Q04637 IF4G1_HUMAN EIF4G1 1
Q9ULI3 HEG1_HUMAN HEG1 1
A0PJZ3 GXLT2_HUMAN GXYLT2 1
P49841 GSK3B_HUMAN GSK3B 1
Q96EL1 INKA1_HUMAN INKA1 1
Q8N5X7 IF4E3_HUMAN EIF4E3 1
A0A087WT53 A0A087WT53_HUMAN MAGI1 1
A0A2R8YEM9 A0A2R8YEM9_HUMAN TRANK1 2
A0A3B3ITU8 A0A3B3ITU8_HUMAN ITPR1 1
A0A0B4J1T8 A0A0B4J1T8_HUMAN EPHA6 1
E7EX82 E7EX82_HUMAN PHC3 2
A0A3B3IU04 A0A3B3IU04_HUMAN ITPR1 1
A0A087WZQ8 A0A087WZQ8_HUMAN MST1R 1
A0A3B3IT66 A0A3B3IT66_HUMAN FOXP1 1
B4DQK9 B4DQK9_HUMAN MTMR14 1
A0A1B0GTN0 A0A1B0GTN0_HUMAN CACNA1D 1
H7C4S7 H7C4S7_HUMAN MAGI1 1
C9JUT4 C9JUT4_HUMAN LPP 1
G5E965 G5E965_HUMAN FOXP1 3
B4DJ23 B4DJ23_HUMAN MTMR14 1
A0A3B3ITQ1 A0A3B3ITQ1_HUMAN ITPR1 1
E7EU71 E7EU71_HUMAN EPHA6 1
A0A0D9SF25 A0A0D9SF25_HUMAN TBL1XR1 1
F8WEA3 F8WEA3_HUMAN MTMR14 1
J3KQ19 J3KQ19_HUMAN NLGN1 1
C9JCX1 C9JCX1_HUMAN MBNL1 1
C9JAU2 C9JAU2_HUMAN ARIH2 1
A0A3B3IRY8 A0A3B3IRY8_HUMAN EPHB1 1
C9JBA5 C9JBA5_HUMAN IGSF11 1
C9J587 C9J587_HUMAN LNP1 1
A0A2R8YFD4 A0A2R8YFD4_HUMAN CBLB 1
H7C4U7 H7C4U7_HUMAN MAGI1 1
A0A3B3IRS5 A0A3B3IRS5_HUMAN FOXP1 3
A0A2R8YDD6 A0A2R8YDD6_HUMAN ATXN7 4
A0A3B3ITS0 A0A3B3ITS0_HUMAN THPO 1
A0A0B4J2F3 A0A0B4J2F3_HUMAN FOXP1 1
