UniqueIdentifier EntryName NumberTRs
P35568 IRS1_HUMAN 3
P13378 HXD8_HUMAN 3
P35453 HXD13_HUMAN 4
Q9BV36 MELPH_HUMAN 1
P10070 GLI2_HUMAN 1
Q75VX8 GARE2_HUMAN 1
Q3V6T2 GRDN_HUMAN 1
P52951 GBX2_HUMAN 1
P28290 ITPI2_HUMAN 1
Q6Y7W6 GGYF2_HUMAN 5
Q4ZG55 GREB1_HUMAN 2
P31249 HXD3_HUMAN 1
Q6GPH6 IPIL1_HUMAN 1
P28356 HXD9_HUMAN 1
O60841 IF2P_HUMAN 1
Q05925 HME1_HUMAN 3
P18065 IBP2_HUMAN 1
Q8WVV9 HNRLL_HUMAN 1
P31277 HXD11_HUMAN 2
P09016 HXD4_HUMAN 1
P05455 LA_HUMAN 1
A0A0A0MS79 A0A0A0MS79_HUMAN 1
E9PGF5 E9PGF5_HUMAN 1
E9PG46 E9PG46_HUMAN 3
H7BZ26 H7BZ26_HUMAN 1
C9JTS3 C9JTS3_HUMAN 1
A0A2R8Y7D9 A0A2R8Y7D9_HUMAN 1
A0A3B3ITS6 A0A3B3ITS6_HUMAN 1
E7EWD6 E7EWD6_HUMAN 2
A0A075B6S9 A0A075B6S9_HUMAN 1
A0A2R8Y6B2 A0A2R8Y6B2_HUMAN 1
A0A0D9SEY1 A0A0D9SEY1_HUMAN 1
C4AM88 C4AM88_HUMAN 1
F1T0F2 F1T0F2_HUMAN 1
Q1PSW9 Q1PSW9_HUMAN 1
G5E9N6 G5E9N6_HUMAN 1
H7C1N1 H7C1N1_HUMAN 1
A0A1B0GW40 A0A1B0GW40_HUMAN 1
B9EIJ4 B9EIJ4_HUMAN 1
C9JV89 C9JV89_HUMAN 1
A0A3B3ISW5 A0A3B3ISW5_HUMAN 1
I1E4Y6 I1E4Y6_HUMAN 5
A0A087X0Q4 A0A087X0Q4_HUMAN 1
C9J119 C9J119_HUMAN 1
A0A087WZL3 A0A087WZL3_HUMAN 3
F8W8L6 F8W8L6_HUMAN 1
A0A3B3IRX5 A0A3B3IRX5_HUMAN 1
A0A3B3IU66 A0A3B3IU66_HUMAN 1
F8W914 F8W914_HUMAN 4
H7C066 H7C066_HUMAN 2
A0A2R8Y4W8 A0A2R8Y4W8_HUMAN 1
A0A1B0GWI0 A0A1B0GWI0_HUMAN 1
C9JN15 C9JN15_HUMAN 1
D6W592 D6W592_HUMAN 1
C9K0J5 C9K0J5_HUMAN 4
C9J4M7 C9J4M7_HUMAN 1
A0JP08 A0JP08_HUMAN 1
A0A2R8Y846 A0A2R8Y846_HUMAN 1
A0A0C4DH26 A0A0C4DH26_HUMAN 1
A0A2R8YED2 A0A2R8YED2_HUMAN 1
F2Z2L5 F2Z2L5_HUMAN 1
B4DFN8 B4DFN8_HUMAN 1
B4DIZ1 B4DIZ1_HUMAN 1
A0A2R8YG52 A0A2R8YG52_HUMAN 1
B7Z836 B7Z836_HUMAN 2
A0A3B3ITW6 A0A3B3ITW6_HUMAN 1
A0A1B0GW10 A0A1B0GW10_HUMAN 1
F2Z2B4 F2Z2B4_HUMAN 1
D3YTD3 D3YTD3_HUMAN 1
D4Q8H0 D4Q8H0_HUMAN 1
B5MBY9 B5MBY9_HUMAN 1
G3XAA2 G3XAA2_HUMAN 1
F1T0B3 F1T0B3_HUMAN 1
A0A1B0GVV8 A0A1B0GVV8_HUMAN 1
E9PF55 E9PF55_HUMAN 1
A0A3B3IRW2 A0A3B3IRW2_HUMAN 1
B8ZZ90 B8ZZ90_HUMAN 1
C9JG97 C9JG97_HUMAN 1
F8WAL6 F8WAL6_HUMAN 2
C9JEH3 C9JEH3_HUMAN 2
A0A2Q2TTZ9 A0A2Q2TTZ9_HUMAN 1
B8ZZ98 B8ZZ98_HUMAN 1
A0A3F2YNY6 A0A3F2YNY6_HUMAN 3
A0A3B3IRK4 A0A3B3IRK4_HUMAN 1
A0A096LNR2 A0A096LNR2_HUMAN 1
C9J840 C9J840_HUMAN 1
E7ENL6 E7ENL6_HUMAN 1
A0A0C4DH90 A0A0C4DH90_HUMAN 1
A0A0C4DG21 A0A0C4DG21_HUMAN 2
A0A0A0MR59 A0A0A0MR59_HUMAN 2
A0A087WUT6 A0A087WUT6_HUMAN 1
C9JRD2 C9JRD2_HUMAN 1
A0A2R8YES7 A0A2R8YES7_HUMAN 1
C9JX00 C9JX00_HUMAN 1
C9JG15 C9JG15_HUMAN 1
A0A096LPI0 A0A096LPI0_HUMAN 1
F8WB07 F8WB07_HUMAN 1
A0A3B3IS61 A0A3B3IS61_HUMAN 1
B7WP74 B7WP74_HUMAN 2
A0A2R8YG73 A0A2R8YG73_HUMAN 1
E7EP65 E7EP65_HUMAN 2
A0A0G2JRQ6 A0A0G2JRQ6_HUMAN 1
H7C008 H7C008_HUMAN 1
A0A087X2G1 A0A087X2G1_HUMAN 1
E7EN18 E7EN18_HUMAN 2
E9PCP1 E9PCP1_HUMAN 1
F6U291 F6U291_HUMAN 1
A0A096LNQ0 A0A096LNQ0_HUMAN 1
A0A2R8Y7L3 A0A2R8Y7L3_HUMAN 1
H7BZZ6 H7BZZ6_HUMAN 1
A0A087X014 A0A087X014_HUMAN 1
B7WPG3 B7WPG3_HUMAN 1
A0A075B7D4 A0A075B7D4_HUMAN 1
F8WCX4 F8WCX4_HUMAN 1
A0A3B3ITL3 A0A3B3ITL3_HUMAN 1
A0A0A0MTS7 A0A0A0MTS7_HUMAN 3
H0Y4J7 H0Y4J7_HUMAN 1
H7C207 H7C207_HUMAN 1
H7C1P9 H7C1P9_HUMAN 1
A0A1B0GTS6 A0A1B0GTS6_HUMAN 1
A0A1B0GV02 A0A1B0GV02_HUMAN 1
C9JM79 C9JM79_HUMAN 3
A0A0D9SEM5 A0A0D9SEM5_HUMAN 1
A0A2R8Y4T1 A0A2R8Y4T1_HUMAN 1
E7EW77 E7EW77_HUMAN 2
A0A096LPB4 A0A096LPB4_HUMAN 1
A0A2U3TZV9 A0A2U3TZV9_HUMAN 1
E9PB87 E9PB87_HUMAN 3
H7C3V8 H7C3V8_HUMAN 1
E9PEZ7 E9PEZ7_HUMAN 2
A0A1B0GW67 A0A1B0GW67_HUMAN 1
F8W8V9 F8W8V9_HUMAN 1
A0A3B3IRZ7 A0A3B3IRZ7_HUMAN 1
A0A096LNX0 A0A096LNX0_HUMAN 1
A0A3B3IS14 A0A3B3IS14_HUMAN 1
A0A3B3IS52 A0A3B3IS52_HUMAN 1
A0A0D9SG62 A0A0D9SG62_HUMAN 1
A0A0U1RR16 A0A0U1RR16_HUMAN 1
B8ZZQ6 B8ZZQ6_HUMAN 1
A0A087WXD9 A0A087WXD9_HUMAN 1
A0A2U3TZT7 A0A2U3TZT7_HUMAN 2
A8MUN2 A8MUN2_HUMAN 1
E7ENQ1 E7ENQ1_HUMAN 1
H0YG23 H0YG23_HUMAN 1
A0A1B0GWA6 A0A1B0GWA6_HUMAN 1
A0A0A0MSY6 A0A0A0MSY6_HUMAN 1
A0A3B3ITJ8 A0A3B3ITJ8_HUMAN 1
H7BZR5 H7BZR5_HUMAN 1
H7C0T2 H7C0T2_HUMAN 1
A0A1B0GTL5 A0A1B0GTL5_HUMAN 1
A0A087WWW7 A0A087WWW7_HUMAN 1
E9PHV5 E9PHV5_HUMAN 1
F8WD49 F8WD49_HUMAN 2
B8ZZI9 B8ZZI9_HUMAN 3
C9JNT4 C9JNT4_HUMAN 1
A0A0D9SF60 A0A0D9SF60_HUMAN 1
C9JWB9 C9JWB9_HUMAN 1
G5E948 G5E948_HUMAN 1
A0A0D9SG99 A0A0D9SG99_HUMAN 1
H7C1Z2 H7C1Z2_HUMAN 1
H0YG38 H0YG38_HUMAN 1
A0A2R8Y560 A0A2R8Y560_HUMAN 1
H7C1U2 H7C1U2_HUMAN 1
A0A087WTA5 A0A087WTA5_HUMAN 1
A0A2U3TZJ5 A0A2U3TZJ5_HUMAN 1
A0A3B3IRK6 A0A3B3IRK6_HUMAN 1
F5H578 F5H578_HUMAN 1
C9JNM7 C9JNM7_HUMAN 1
C9J8D4 C9J8D4_HUMAN 1
C9J1G2 C9J1G2_HUMAN 1
H0Y6B5 H0Y6B5_HUMAN 2
A0A2R8YD81 A0A2R8YD81_HUMAN 1
A0A1B0GXE3 A0A1B0GXE3_HUMAN 1
A0A087WU95 A0A087WU95_HUMAN 1
A0A2R8YF72 A0A2R8YF72_HUMAN 1
C9JR56 C9JR56_HUMAN 1
H7BZI0 H7BZI0_HUMAN 1
H7C360 H7C360_HUMAN 1
H0Y7L6 H0Y7L6_HUMAN 2
F8VY47 F8VY47_HUMAN 1
A0A075B6H7 A0A075B6H7_HUMAN 1
E7EMB8 E7EMB8_HUMAN 1
H7BZ47 H7BZ47_HUMAN 1
H7C309 H7C309_HUMAN 1
A0A087X0M4 A0A087X0M4_HUMAN 1
H7C0P6 H7C0P6_HUMAN 1
A0A2R8YD99 A0A2R8YD99_HUMAN 1
A0A3B3IRM3 A0A3B3IRM3_HUMAN 1
C9JH18 C9JH18_HUMAN 2
E9PG73 E9PG73_HUMAN 4
A0A3B3ISN1 A0A3B3ISN1_HUMAN 1
A0A3B3IRT9 A0A3B3IRT9_HUMAN 1
J3KQ49 J3KQ49_HUMAN 2
A0A0G2JQJ0 A0A0G2JQJ0_HUMAN 1
A0A2R8Y762 A0A2R8Y762_HUMAN 1
E7EX83 E7EX83_HUMAN 1
A0A3B3ISN3 A0A3B3ISN3_HUMAN 1
A0A3B3IUB9 A0A3B3IUB9_HUMAN 3
A0A0D9SG23 A0A0D9SG23_HUMAN 1
C9JXB9 C9JXB9_HUMAN 1
A0A0G2JMZ6 A0A0G2JMZ6_HUMAN 1
F8WEV6 F8WEV6_HUMAN 1
A0A087WV20 A0A087WV20_HUMAN 2
C9JB04 C9JB04_HUMAN 1
A0A2R8Y5L2 A0A2R8Y5L2_HUMAN 1
A0A3B3ISU4 A0A3B3ISU4_HUMAN 1
J3KNF3 J3KNF3_HUMAN 1
E7EUL7 E7EUL7_HUMAN 1
A0A0C4DG68 A0A0C4DG68_HUMAN 2
E7ESB6 E7ESB6_HUMAN 1
E7EN19 E7EN19_HUMAN 1
E7ETU0 E7ETU0_HUMAN 1
E9PHH0 E9PHH0_HUMAN 2
Q8NE01 CNNM3_HUMAN 1
P48751 B3A3_HUMAN 2
Q9UIF8 BAZ2B_HUMAN 1
Q76L83 ASXL2_HUMAN 2
Q01955 CO4A3_HUMAN 1
P12111 CO6A3_HUMAN 1
Q96SQ7 ATOH8_HUMAN 2
F8WEK5 F8WEK5_HUMAN 1
Q9BXB4 OSB11_HUMAN 1
P30559 OXYR_HUMAN 1
Q8NCE2 MTMRE_HUMAN 2
Q99102 MUC4_HUMAN 1
Q9Y2I1 NISCH_HUMAN 2
Q8N2Q7 NLGN1_HUMAN 1
Q2Q1W2 LIN41_HUMAN 1
Q0VAK6 LMOD3_HUMAN 1
Q93052 LPP_HUMAN 1
Q9UGP4 LIMD1_HUMAN 1
Q9HAY2 MAGF1_HUMAN 1
Q96QZ7 MAGI1_HUMAN 1
Q6ZVX9 PAQR9_HUMAN 1
Q9NZ53 PDXL2_HUMAN 2
A1A4G5 LNP1_HUMAN 1
O43283 M3K13_HUMAN 1
Q9NR56 MBNL1_HUMAN 1
P30414 NKTR_HUMAN 3
Q6ZWH5 NEK10_HUMAN 1
Q6ZNJ1 NBEL2_HUMAN 2
Q9H3D4 P63_HUMAN 1
O43818 U3IP2_HUMAN 1
P51965 UB2E1_HUMAN 1
O00461 GOLI4_HUMAN 1
O15083 ERC2_HUMAN 1
Q9H2U1 DHX36_HUMAN 1
Q9UPA5 BSN_HUMAN 3
P55201 BRPF1_HUMAN 2
Q96MT7 CFA44_HUMAN 1
Q13191 CBLB_HUMAN 1
Q96S65 CSRN1_HUMAN 2
Q9H4D0 CSTN2_HUMAN 1
Q9UK59 DBR1_HUMAN 1
Q4L180 FIL1L_HUMAN 1
Q8TBJ5 FEZF2_HUMAN 1
P49789 FHIT_HUMAN 1
Q01668 CAC1D_HUMAN 2
P58012 FOXL2_HUMAN 3
Q9H334 FOXP1_HUMAN 3
P51114 FXR1_HUMAN 1
Q9Y4B4 ARIP4_HUMAN 1
O95376 ARI2_HUMAN 2
Q3SXY8 AR13B_HUMAN 1
Q15283 RASA2_HUMAN 1
P78332 RBM6_HUMAN 1
Q8IYW5 RN168_HUMAN 1
P50914 RL14_HUMAN 1
P42338 PK3CB_HUMAN 1
Q8NDX5 PHC3_HUMAN 2
Q9UPR0 PLCL2_HUMAN 1
Q9UIW2 PLXA1_HUMAN 1
Q04912 RON_HUMAN 1
Q9HC23 PROK2_HUMAN 1
P52756 RBM5_HUMAN 2
Q8NEW7 TMIE_HUMAN 1
Q8WZ71 TM158_HUMAN 2
Q8WWA1 TMM40_HUMAN 1
O94966 UBP19_HUMAN 1
P40225 TPO_HUMAN 1
Q9UKE5 TNIK_HUMAN 2
Q9GZV5 WWTR1_HUMAN 1
P13682 ZNF35_HUMAN 1
Q9H6B1 Z385D_HUMAN 1
Q504Y3 ZCPW2_HUMAN 1
Q9UFB7 ZBT47_HUMAN 2
A8MV65 VGLL3_HUMAN 1
Q01831 XPC_HUMAN 1
O15050 TRNK1_HUMAN 2
Q96L42 KCNH8_HUMAN 1
Q2TAL8 QRIC1_HUMAN 2
Q8NDT2 RB15B_HUMAN 4
Q7Z7A4 PXK_HUMAN 1
Q7Z3G6 PRIC2_HUMAN 2
Q9Y4D7 PLXD1_HUMAN 1
Q5FWE3 PRRT3_HUMAN 1
O43295 SRGP3_HUMAN 1
O15042 SR140_HUMAN 3
P20396 TRH_HUMAN 3
P62995 TRA2B_HUMAN 3
Q8TCJ2 STT3B_HUMAN 1
Q8NBK3 SUMF1_HUMAN 1
Q92777 SYN2_HUMAN 2
Q9UI38 TSP50_HUMAN 1
Q96N46 TTC14_HUMAN 1
Q6P087 RUSD3_HUMAN 1
O94876 TMCC1_HUMAN 2
O60902 SHOX2_HUMAN 2
Q8N114 SHSA5_HUMAN 1
Q92922 SMRC1_HUMAN 1
Q96IZ7 RSRC1_HUMAN 2
Q9NTJ3 SMC4_HUMAN 2
Q92609 TBCD5_HUMAN 2
Q01826 SATB1_HUMAN 1
P0DPB3 SCHI1_HUMAN 2
P62341 SELT_HUMAN 1
Q9BZK7 TBL1R_HUMAN 1
Q68DE3 USF3_HUMAN 3
Q6ZT21 TMPPE_HUMAN 1
O75157 T22D2_HUMAN 1
A0A2R8Y7N6 A0A2R8Y7N6_HUMAN 1
C9J367 C9J367_HUMAN 2
H0YF57 H0YF57_HUMAN 1
O60239 3BP5_HUMAN 1
Q8N2R8 FA43A_HUMAN 1
P54762 EPHB1_HUMAN 1
O95936 EOMES_HUMAN 1
P98095 FBLN2_HUMAN 1
Q14469 HES1_HUMAN 1
P22914 CRYGS_HUMAN 1
A0A1B0GTH6 CS2IP_HUMAN 1
Q96JC9 EAF1_HUMAN 2
Q68DQ2 CRBG3_HUMAN 2
Q494V2 CP100_HUMAN 1
Q9UKY7 CDV3_HUMAN 1
Q13609 DNSL3_HUMAN 1
Q86Y13 DZIP3_HUMAN 1
Q96CJ1 EAF2_HUMAN 1
O95196 CSPG5_HUMAN 1
Q9H5V8 CDCP1_HUMAN 1
Q9NYQ7 CELR3_HUMAN 3
Q16829 DUS7_HUMAN 1
Q9ULR0 ISY1_HUMAN 1
Q86YW9 MD12L_HUMAN 3
Q15051 IQCB1_HUMAN 1
Q86SU0 ILDR1_HUMAN 1
Q5DX21 IGS11_HUMAN 1
P07203 GPX1_HUMAN 1
Q14643 ITPR1_HUMAN 1
Q04637 IF4G1_HUMAN 1
Q9ULI3 HEG1_HUMAN 1
A0PJZ3 GXLT2_HUMAN 1
P49841 GSK3B_HUMAN 1
Q96EL1 INKA1_HUMAN 1
Q8N5X7 IF4E3_HUMAN 1
A0A087WT53 A0A087WT53_HUMAN 1
A0A2R8YEM9 A0A2R8YEM9_HUMAN 2
A0A3B3ITU8 A0A3B3ITU8_HUMAN 1
A0A0B4J1T8 A0A0B4J1T8_HUMAN 1
E7EX82 E7EX82_HUMAN 2
A0A3B3IU04 A0A3B3IU04_HUMAN 1
A0A087WZQ8 A0A087WZQ8_HUMAN 1
A0A3B3IT66 A0A3B3IT66_HUMAN 1
B4DQK9 B4DQK9_HUMAN 1
A0A1B0GTN0 A0A1B0GTN0_HUMAN 1
H7C4S7 H7C4S7_HUMAN 1
C9JUT4 C9JUT4_HUMAN 1
G5E965 G5E965_HUMAN 3
B4DJ23 B4DJ23_HUMAN 1
A0A3B3ITQ1 A0A3B3ITQ1_HUMAN 1
E7EU71 E7EU71_HUMAN 1
A0A0D9SF25 A0A0D9SF25_HUMAN 1
F8WEA3 F8WEA3_HUMAN 1
J3KQ19 J3KQ19_HUMAN 1
C9JCX1 C9JCX1_HUMAN 1
C9JAU2 C9JAU2_HUMAN 1
A0A3B3IRY8 A0A3B3IRY8_HUMAN 1
C9JBA5 C9JBA5_HUMAN 1
C9J587 C9J587_HUMAN 1
A0A2R8YFD4 A0A2R8YFD4_HUMAN 1
H7C4U7 H7C4U7_HUMAN 1
A0A3B3IRS5 A0A3B3IRS5_HUMAN 3
A0A2R8YDD6 A0A2R8YDD6_HUMAN 4
A0A3B3ITS0 A0A3B3ITS0_HUMAN 1
A0A0B4J2F3 A0A0B4J2F3_HUMAN 1
C9IYK2 C9IYK2_HUMAN 1
C9JR83 C9JR83_HUMAN 1
Q86VM6 Q86VM6_HUMAN 1
A0A087WZF1 A0A087WZF1_HUMAN 1
A0A0A0MTJ9 A0A0A0MTJ9_HUMAN 1
B5MC15 B5MC15_HUMAN 1
C9JBC5 C9JBC5_HUMAN 1
A0A087WXD2 A0A087WXD2_HUMAN 1
C9JGR2 C9JGR2_HUMAN 1
C9JGS9 C9JGS9_HUMAN 1
A0A024R368 A0A024R368_HUMAN 2
A0A3B3ISE3 A0A3B3ISE3_HUMAN 1
C9J2Z7 C9J2Z7_HUMAN 1
E9PC87 E9PC87_HUMAN 2
A0A0G2JR46 A0A0G2JR46_HUMAN 1
B4DXZ6 B4DXZ6_HUMAN 1
E7EQG8 E7EQG8_HUMAN 1
Q5JPC9 Q5JPC9_HUMAN 2
B4DWJ3 B4DWJ3_HUMAN 1
W5RWE6 W5RWE6_HUMAN 1
A6NLG4 A6NLG4_HUMAN 1
A0A3B3IU15 A0A3B3IU15_HUMAN 3
Q59GD8 Q59GD8_HUMAN 1
C9J011 C9J011_HUMAN 1
H7C535 H7C535_HUMAN 1
H7C5T8 H7C5T8_HUMAN 1
Q6N039 Q6N039_HUMAN 1
F8WF60 F8WF60_HUMAN 1
H7C3Y7 H7C3Y7_HUMAN 1
A0A3B3IST0 A0A3B3IST0_HUMAN 3
C9JZ71 C9JZ71_HUMAN 1
C9J7E1 C9J7E1_HUMAN 1
H7C2L4 H7C2L4_HUMAN 2
E7ERK0 E7ERK0_HUMAN 1
A0A3B3IS20 A0A3B3IS20_HUMAN 2
C9J0F0 C9J0F0_HUMAN 3
A0A087WWK8 A0A087WWK8_HUMAN 1
A0A087WUQ6 A0A087WUQ6_HUMAN 1
J3KQS7 J3KQS7_HUMAN 1
F8WBD0 F8WBD0_HUMAN 1
C9JBN1 C9JBN1_HUMAN 1
C9J9P7 C9J9P7_HUMAN 1
D6R973 D6R973_HUMAN 1
C9JJ64 C9JJ64_HUMAN 1
C9IY68 C9IY68_HUMAN 1
A0A2R8Y8D8 A0A2R8Y8D8_HUMAN 1
H0Y764 H0Y764_HUMAN 2
A0A0G2JR97 A0A0G2JR97_HUMAN 1
C9J140 C9J140_HUMAN 1
F8WDU8 F8WDU8_HUMAN 1
C9JWI2 C9JWI2_HUMAN 1
A0A3B3IS59 A0A3B3IS59_HUMAN 1
E7EWN1 E7EWN1_HUMAN 1
A0A2R8Y6B6 A0A2R8Y6B6_HUMAN 1
D6R9V8 D6R9V8_HUMAN 1
D6RFH2 D6RFH2_HUMAN 1
C9JWF0 C9JWF0_HUMAN 1
A0A087WYW3 A0A087WYW3_HUMAN 3
A0A2R8YDZ8 A0A2R8YDZ8_HUMAN 1
A0A1B0GUN6 A0A1B0GUN6_HUMAN 2
C9J337 C9J337_HUMAN 1
C9IYU9 C9IYU9_HUMAN 1
E9PF05 E9PF05_HUMAN 1
C9J8Q2 C9J8Q2_HUMAN 2
C9IYY1 C9IYY1_HUMAN 1
H7C4Y1 H7C4Y1_HUMAN 1
H7C4V0 H7C4V0_HUMAN 1
E7ETT5 E7ETT5_HUMAN 1
H0YDN0 H0YDN0_HUMAN 1
A0A087X2G3 A0A087X2G3_HUMAN 1
F8WCS4 F8WCS4_HUMAN 1
A0A3B3ISA4 A0A3B3ISA4_HUMAN 1
C9J4E3 C9J4E3_HUMAN 1
A0A087X0N0 A0A087X0N0_HUMAN 1
E7EST9 E7EST9_HUMAN 1
H0Y897 H0Y897_HUMAN 1
C9J4W2 C9J4W2_HUMAN 1
A0A1B0GWE1 A0A1B0GWE1_HUMAN 1
A0A1X7SBR1 A0A1X7SBR1_HUMAN 2
A0A3B3IT26 A0A3B3IT26_HUMAN 1
C9JYH7 C9JYH7_HUMAN 1
C9JWW9 C9JWW9_HUMAN 1
H7C046 H7C046_HUMAN 1
A0A0D9SF63 A0A0D9SF63_HUMAN 1
C9J8I6 C9J8I6_HUMAN 1
E7EU85 E7EU85_HUMAN 1
A0A3B3IU13 A0A3B3IU13_HUMAN 1
A0A3B3ISQ7 A0A3B3ISQ7_HUMAN 1
E7EX73 E7EX73_HUMAN 1
H0YF18 H0YF18_HUMAN 1
A0A3B3IT14 A0A3B3IT14_HUMAN 1
C9J7P7 C9J7P7_HUMAN 1
A0A2R8Y5E1 A0A2R8Y5E1_HUMAN 1
A0A1W2PQ56 A0A1W2PQ56_HUMAN 1
H0Y8K3 H0Y8K3_HUMAN 1
H0YDW0 H0YDW0_HUMAN 1
A0A1W2PP08 A0A1W2PP08_HUMAN 1
A0A2R8Y4Z1 A0A2R8Y4Z1_HUMAN 1
A0A1B0GUB6 A0A1B0GUB6_HUMAN 2
C9J2P0 C9J2P0_HUMAN 1
E7EQT2 E7EQT2_HUMAN 1
A0A3B3IU05 A0A3B3IU05_HUMAN 1
C9J5C8 C9J5C8_HUMAN 1
C9JVB3 C9JVB3_HUMAN 2
A0A0G2JQI2 A0A0G2JQI2_HUMAN 1
H7C4V2 H7C4V2_HUMAN 2
A0A3B3ITM5 A0A3B3ITM5_HUMAN 1
C9JRJ5 C9JRJ5_HUMAN 1
C9JCL4 C9JCL4_HUMAN 1
H7C558 H7C558_HUMAN 2
H0Y882 H0Y882_HUMAN 1
A0A1B0GUU2 A0A1B0GUU2_HUMAN 1
H0Y3L9 H0Y3L9_HUMAN 1
C9J338 C9J338_HUMAN 1
D6RDN0 D6RDN0_HUMAN 1
C9J3F6 C9J3F6_HUMAN 2
C9JA69 C9JA69_HUMAN 1
C9JF13 C9JF13_HUMAN 1
C9J6B6 C9J6B6_HUMAN 1
H7C571 H7C571_HUMAN 1
E9PFF5 E9PFF5_HUMAN 1
A0A2R8Y890 A0A2R8Y890_HUMAN 1
C9J366 C9J366_HUMAN 2
D3YTG3 D3YTG3_HUMAN 2
H7C0K4 H7C0K4_HUMAN 1
A0A0A0MRY8 A0A0A0MRY8_HUMAN 1
E7ESU0 E7ESU0_HUMAN 1
E9PDY6 E9PDY6_HUMAN 1
H7C0L9 H7C0L9_HUMAN 1
E9PD53 E9PD53_HUMAN 1
H7BXF3 H7BXF3_HUMAN 1
A0A2R8Y8A3 A0A2R8Y8A3_HUMAN 1
A0A3B3IRZ4 A0A3B3IRZ4_HUMAN 1
F5GXA0 F5GXA0_HUMAN 1
D6RAV0 D6RAV0_HUMAN 1
A0A087WVT2 A0A087WVT2_HUMAN 2
A0A0G2JRY3 A0A0G2JRY3_HUMAN 1
A0A0G2JRU8 A0A0G2JRU8_HUMAN 1
A0A087WVA1 A0A087WVA1_HUMAN 1
D6RFM1 D6RFM1_HUMAN 3
A0A0A0MSJ9 A0A0A0MSJ9_HUMAN 1
A0A3B3IRW5 A0A3B3IRW5_HUMAN 1
F8W9D8 F8W9D8_HUMAN 1
E7EUL9 E7EUL9_HUMAN 1
C9JFQ5 C9JFQ5_HUMAN 1
D6RBT7 D6RBT7_HUMAN 1
C9JYJ6 C9JYJ6_HUMAN 1
C9J9N0 C9J9N0_HUMAN 1
A0A0G2JRS2 A0A0G2JRS2_HUMAN 1
C9JAU4 C9JAU4_HUMAN 1
F8W785 F8W785_HUMAN 1
C9K073 C9K073_HUMAN 1
A0A0G2JQK9 A0A0G2JQK9_HUMAN 1
A0A3B3IRP0 A0A3B3IRP0_HUMAN 1
A0A1B0GUH2 A0A1B0GUH2_HUMAN 1
A0A087WUT8 A0A087WUT8_HUMAN 1
F8W910 F8W910_HUMAN 1
A0A0G2JRJ6 A0A0G2JRJ6_HUMAN 1
C9J5T4 C9J5T4_HUMAN 1
E7ET15 E7ET15_HUMAN 3
C9J1K7 C9J1K7_HUMAN 1
A0A0G2JS65 A0A0G2JS65_HUMAN 1
H7C4Z0 H7C4Z0_HUMAN 1
C9JP00 C9JP00_HUMAN 1
A0A3B3IU08 A0A3B3IU08_HUMAN 3
H7C4T5 H7C4T5_HUMAN 1
F8WCA5 F8WCA5_HUMAN 1
C9J266 C9J266_HUMAN 1
F8WF41 F8WF41_HUMAN 1
A0A3B3IUB6 A0A3B3IUB6_HUMAN 3
E9PGM1 E9PGM1_HUMAN 1
E7EW47 E7EW47_HUMAN 1
F8WDS1 F8WDS1_HUMAN 1
C9JCK0 C9JCK0_HUMAN 1
C9JR02 C9JR02_HUMAN 1
C9J713 C9J713_HUMAN 2
A0A1W2PQT1 A0A1W2PQT1_HUMAN 2
A0A1W2PR91 A0A1W2PR91_HUMAN 2
F8WCC0 F8WCC0_HUMAN 1
F8WCE2 F8WCE2_HUMAN 1
F8WDG5 F8WDG5_HUMAN 1
B5MEG5 B5MEG5_HUMAN 1
E9PGM9 E9PGM9_HUMAN 1
A0A3F2YNW8 A0A3F2YNW8_HUMAN 1
A0A0A0MQX8 A0A0A0MQX8_HUMAN 1
F8WFD9 F8WFD9_HUMAN 1
F8WDM0 F8WDM0_HUMAN 2
D6RBA9 D6RBA9_HUMAN 1
H0Y9V0 H0Y9V0_HUMAN 1
A0A3B3IRY1 A0A3B3IRY1_HUMAN 2
C9JLJ1 C9JLJ1_HUMAN 1
A0A0G2JSC3 A0A0G2JSC3_HUMAN 1
C9JMW0 C9JMW0_HUMAN 1
A0A3B3ITW1 A0A3B3ITW1_HUMAN 1
C9JSR1 C9JSR1_HUMAN 1
E7EUU4 E7EUU4_HUMAN 1
A0A0G2JRD8 A0A0G2JRD8_HUMAN 1
E7EVA0 E7EVA0_HUMAN 1
F8WAE6 F8WAE6_HUMAN 2
A0A0A0MT68 A0A0A0MT68_HUMAN 1
E7ENC5 E7ENC5_HUMAN 1
Q02388 CO7A1_HUMAN 2
Q9P2N4 ATS9_HUMAN 1
Q9BQ75 CMS1_HUMAN 1
Q8WY36 BBX_HUMAN 1
O15265 ATX7_HUMAN 4
Q9UK58 CCNL1_HUMAN 2
C9J0L2 C9J0L2_HUMAN 1
A0A3B3IST6 A0A3B3IST6_HUMAN 3
A0A1W2PPY3 A0A1W2PPY3_HUMAN 2
A0A1W2PRV6 A0A1W2PRV6_HUMAN 1
Q9P2E7 PCD10_HUMAN 2
Q02083 NAAA_HUMAN 1
Q96NT1 NP1L5_HUMAN 1
Q6UXI9 NPNT_HUMAN 1
Q9H2A3 NGN2_HUMAN 2
P78426 NKX61_HUMAN 4
Q8N0V4 LGI2_HUMAN 1
P48645 NMU_HUMAN 1
Q8N3X6 LCORL_HUMAN 1
O43766 LIAS_HUMAN 1
Q96JK9 MAML3_HUMAN 3
